product_id,name,category,price
1,Wireless Earbuds,Electronics,79.99
2,Smartphone Case,Electronics,19.99
3,Bluetooth Speaker,Electronics,49.99
4,Portable Charger,Electronics,39.99
5,Smartwatch,Electronics,129.99
6,Ceramic Mug Set,Home,24.99
7,Throw Blanket,Home,34.99
8,LED Desk Lamp,Home,45.50
9,Aromatherapy Diffuser,Home,29.99
10,Indoor Plant Kit,Home,27.49
11,Yoga Mat,Fitness,32.00
12,Resistance Bands,Fitness,21.50
13,Insulated Water Bottle,Fitness,25.00
14,Foam Roller,Fitness,28.75
15,Adjustable Dumbbell,Fitness,199.00
16,Productivity Planner,Books,18.95
17,Design Thinking Guide,Books,22.00
18,Modern Cooking,Books,30.00
19,Mindfulness Workbook,Books,16.50
20,Startup Playbook,Books,26.00
